date,permno,close,vol,day,mom1,mom2,mom3,roc5,roc10,roc15,roc20,ema10,ema20,ema50,ema200
2000-01,45751.0,94.0,,0,,,,,,,,0.0,0.0,0.0,0.0
2000-02,45751.0,77.375,-0.19287994748237525,1,,,,,,,,0.0,0.0,0.0,0.0
2000-03,45751.0,110.3125,0.27035519608784164,4,-0.17686170212765961,,,,,,,0.0,0.0,0.0,0.0
2000-04,45751.0,98.5625,-0.21830647053443253,4,0.42568659127625197,-0.17686170212765961,,,,,,0.0,0.0,0.0,0.0
2000-05,45751.0,110.0625,-0.2602115309283858,2,-0.10651558073654388,0.42568659127625197,-0.17686170212765961,,,,,0.0,0.0,0.0,0.0
2000-06,45751.0,104.4375,0.006347219738959353,4,0.11667723525681684,-0.10651558073654388,0.42568659127625197,0.1110372340425532,,,,0.0,0.0,0.0,0.0
2000-07,45751.0,122.0,0.11513519792812676,0,-0.05110732538330498,0.11667723525681684,-0.10651558073654388,0.5767366720516963,,,,0.0,0.0,0.0,0.0
2000-08,45751.0,118.75,0.02845762608002933,3,0.16816277678037106,-0.05110732538330498,0.11667723525681684,0.0764872521246459,,,,0.0,0.0,0.0,0.0
2000-09,45751.0,132.75,-0.1913378695615906,4,-0.026639344262295084,0.16816277678037106,-0.05110732538330498,0.346861128725428,,,,0.0,0.0,0.0,0.0
2000-10,45751.0,130.75,0.7999425291590838,1,0.11789473684210527,-0.026639344262295084,0.16816277678037106,0.18796138557637707,,,,109.9,0.0,0.0,0.0
2000-11,45751.0,115.125,-0.08980719636497603,3,-0.015065913370998163,0.11789473684210527,-0.026639344262295084,0.10233393177737882,0.2247340425531915,,,110.85000000000001,0.0,0.0,0.0
2000-12,45751.0,117.0,-0.11235389092021175,4,-0.1195028680688337,-0.015065913370998163,0.11789473684210527,-0.040983606557377046,0.5121163166397416,,,111.96818181818182,0.0,0.0,0.0
2001-01,45751.0,108.1500015258789,0.6484402312419884,2,0.016286644951140072,-0.1195028680688337,-0.015065913370998163,-0.08926314504523027,-0.019603385601097735,,,111.27396721958128,0.0,0.0,0.0
2001-02,45751.0,107.0,-0.42998177353074063,2,-0.07564101259932554,0.016286644951140072,-0.1195028680688337,-0.19397363465160075,0.08560558021559923,,,110.49688227056649,0.0,0.0,0.0
2001-03,45751.0,95.02999877929688,0.5296889828315072,4,-0.010633393524305479,-0.07564101259932554,0.016286644951140072,-0.2731931259709608,-0.13658149888202725,,,107.68472163579018,0.0,0.0,0.0
2001-04,45751.0,96.44000244140625,0.10036659734216924,0,-0.1118691702869451,-0.010633393524305479,-0.07564101259932554,-0.16230182461319217,-0.07657687668312388,0.02595747278091755,,105.64022723681128,0.0,0.0,0.0
2001-05,45751.0,104.9000015258789,-0.36997337929222873,3,0.014837458489124655,-0.1118691702869451,-0.010633393524305479,-0.10341879037710336,-0.14016392191902535,0.3557350762633784,,105.50564074391448,0.0,0.0,0.0
2001-06,45751.0,101.0,-0.15075430541360957,4,0.08772292482689092,0.014837458489124655,-0.1118691702869451,-0.06611189482200795,-0.14947368421052631,-0.08441926345609065,,104.68643333593002,0.0,0.0,0.0
2001-07,45751.0,100.4000015258789,-0.0006945192848846204,1,-0.0371782790195363,0.08772292482689092,0.014837458489124655,-0.06168222873010368,-0.24369113728151484,0.018643008506063728,,103.90708209773891,0.0,0.0,0.0
2001-08,45751.0,92.9000015258789,0.0179681976681485,4,-0.0059405789516939755,-0.0371782790195363,0.08772292482689092,-0.022413945920012023,-0.2894837359397407,-0.15593411447242334,,101.90579472103708,106.84725036621094,0.0,0.0
