date,permno,ma_1_9,ma_2_9,ma_3_9,ma_1_12,ma_2_12,ma_3_12,mom9,mom12,vol_1_9,vol_2_9,vol_3_9,vol_1_12,vol_2_12,vol_3_12
2003-12-31,89954.0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
2004-01-30,89954.0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
2004-02-27,89954.0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
2004-03-31,89954.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2004-04-30,89954.0,1,0,1,1,0,1,0,0,1,0,0,1,0,0
2004-05-28,89954.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2004-06-30,89954.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2004-07-30,89954.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2004-08-31,89954.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-09-30,89954.0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
2004-10-29,89954.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
2004-11-30,89954.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2004-12-31,89954.0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
2005-01-31,89954.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2005-02-28,89954.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2005-03-31,89954.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-29,89954.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-05-31,89954.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2005-06-30,89954.0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
2005-07-29,89954.0,1,1,1,0,0,0,0,0,0,1,1,0,1,1
2005-08-31,89954.0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2005-09-30,89954.0,0,1,1,0,1,1,0,0,0,1,1,0,1,1
2005-10-31,89954.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2005-11-30,89954.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12-30,89954.0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
2006-01-31,89954.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2006-02-28,89954.0,1,1,0,1,1,0,1,1,1,1,1,1,1,1
2006-03-31,89954.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006-04-28,89954.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006-05-31,89954.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006-06-30,89954.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2006-07-31,89954.0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
2006-08-31,89954.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2006-09-29,89954.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006-10-31,89954.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
