date,permno,ma_1_9,ma_2_9,ma_3_9,ma_1_12,ma_2_12,ma_3_12,mom9,mom12,vol_1_9,vol_2_9,vol_3_9,vol_1_12,vol_2_12,vol_3_12
2000-01-31,48397.0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
2000-02-29,48397.0,0,1,1,0,1,1,0,0,0,1,1,0,1,1
2000-03-31,48397.0,0,0,1,0,0,1,0,0,1,0,1,1,0,1
2000-04-28,48397.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2000-05-31,48397.0,1,1,1,1,1,1,0,0,1,0,1,1,0,1
2000-06-30,48397.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2000-07-31,48397.0,1,1,1,1,1,1,0,0,1,0,1,1,0,1
2000-08-31,48397.0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
2000-09-29,48397.0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
2000-10-31,48397.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2000-11-30,48397.0,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2000-12-29,48397.0,1,1,1,1,1,1,1,0,1,0,1,1,0,0
2001-01-31,48397.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2001-02-28,48397.0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
2001-03-30,48397.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-04-30,48397.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
2001-05-31,48397.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2001-06-29,48397.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2001-07-31,48397.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
