,ticker,permno
284,FDC,77546.0
285,FDO,53866.0
286,FDP,22496.0
287,FDX,60628.0
288,FEMP,35554.0
289,FFIV,86964.0
290,FHI,86102.0
291,FIS,89003.0
292,FISV,10696.0
293,FITB,34746.0
294,FJ,61583.0
295,FL,15456.0
296,FLE,46295.0
297,FLIR,79265.0
298,FLR,88853.0
299,FLS,30940.0
300,FMC,19166.0
301,FNAC,36127.0
302,FNG,47159.0
303,FNM,51043.0
304,FON,39087.0
305,FOSL,79089.0
306,FOXA,90441.0
307,FRC,12448.0
308,FRRI,37584.0
309,FRT,58413.0
310,FRX,45241.0
311,FSH,77150.0
312,FSLR,91611.0
313,FTEN,36397.0
314,FTNT,93132.0
315,FTV,16087.0
316,FUNC,36469.0
317,FWC,18112.0
318,GAP,26657.0
319,GART,79698.0
320,GBLX,86326.0
321,GCI,47941.0
322,GD,12052.0
323,GDT,81126.0
324,GDW,53479.0
325,GE,12060.0
326,GENZ,10324.0
327,GILD,77274.0
328,GIS,17144.0
329,GLW,22293.0
330,GM,12369.0
331,GMCR,79588.0
332,GNW,90162.0
333,GOOG,14542.0
334,GOOGL,90319.0
335,GPN,88873.0
336,GPS,59010.0
337,GPU,22541.0
338,GR,12140.0
339,GRMN,88837.0
340,GS,86868.0
341,GT,16432.0
342,GTW,79973.0
343,GWW,52695.0
344,GXP,23915.0
345,HAL,23819.0
346,HAR,75224.0
347,HAS,52978.0
348,HBAN,42906.0
349,HBI,91416.0
350,HCBK,87070.0
351,HCFDS,65947.0
352,HCR,77063.0
353,HD,66181.0
354,HET,76090.0
355,HLT,23309.0
356,HM,12319.0
357,HMAIA,76565.0
358,HMT,46703.0
359,HNZ,23077.0
360,HOC,32803.0
361,HOG,70033.0
362,HOLX,76095.0
363,HOT,54690.0
364,HOU,21792.0
365,HP,32707.0
366,HPC,18016.0
367,HPE,15707.0
368,HPQ,27828.0
369,HR,12503.0
370,HRB,49373.0
371,HRL,32870.0
372,HRS,25582.0
373,HSIC,82581.0
374,HSY,16600.0
375,HUM,48653.0
376,IACI,78840.0
377,IBM,12490.0
378,ICE,90993.0
379,IDXX,76709.0
380,IFF,40272.0
381,IGL,12511.0
382,IGT,45277.0
383,IILG,92772.0
384,IIN,12570.0
385,ILMN,88446.0
386,IMNX,43610.0
387,INCY,79906.0
388,INI,23317.0
389,INTC,59328.0
390,INTU,78975.0
391,INX,37284.0
392,IP,21573.0
393,IPG,53065.0
394,IPGP,91668.0
395,IQV,13911.0
396,IR,12431.0
397,IRM,83143.0
398,ISRG,88352.0
399,ITW,56573.0
400,IVGN,86725.0
401,JBHT,42877.0
402,JBL,79094.0
403,JCI,42534.0
404,JCP,18403.0
405,JEC,52329.0
406,JHF,87536.0
407,JKHY,88664.0
408,JNJ,22111.0
409,JNPR,86979.0
410,JNY,76638.0
411,JOS,42104.0
412,JOY,89105.0
413,JPM,47896.0
414,JWN,57817.0
415,K,26825.0
416,KBH,70092.0
417,KEYS,14939.0
418,KG,12749.0
419,KHC,15408.0
420,KIM,77129.0
421,KLAC,46886.0
422,KMB,17750.0
423,KMI,12558.0
424,KMRT,89757.0
425,KMX,89508.0
426,KNB,51596.0
427,KO,11308.0
428,KR,16678.0
429,KRB,76557.0
430,KRFT,13598.0
431,KRI,48960.0
432,KSE,24360.0
433,KSS,77606.0
434,KSU,12650.0
435,KTB,18578.0
436,LDG,53612.0
437,LEG,60943.0
438,LEN,52708.0
439,LIZ,49905.0
440,LKQX,89866.0
441,LLL,86021.0
442,LLSI,48267.0
443,LLTC,10299.0
444,LLY,50876.0
445,LMT,21178.0
446,LNC,49015.0
447,LO,17279.0
448,LOM,50017.0
449,LOWE,61399.0
450,LPX,56223.0
451,LRCX,48486.0
452,LTR,26710.0
453,LU,83332.0
454,LUK,20415.0
455,LUMN,60599.0
456,LVLT,85991.0
457,LVS,90505.0
458,LW,16431.0
459,LXK,82643.0
460,LYB,12345.0
461,LYV,91041.0
462,MAA,80183.0
463,MAS,34032.0
464,MAT,39538.0
465,MAY,13100.0
466,MBI,75175.0
467,MCCRK,52090.0
468,MCD,43449.0
469,MCHP,78987.0
470,MCRN,53613.0
471,MDLZ,89006.0
472,MDP,42796.0
473,MDR,64629.0
474,MDTR,60097.0
475,MEA,19895.0
476,MEDI,76656.0
477,MER,52919.0
478,MERQ,79718.0
479,MET,87842.0
480,MFE,77976.0
481,MFS,27756.0
482,MGG,11891.0
483,MGNE,50906.0
484,MHS,89813.0
485,MID,41443.0
486,MILI,54181.0
487,MJN,92890.0
488,MKTX,90454.0
489,MLM,80204.0
490,MMC,45751.0
491,MMM,22592.0
492,MNBT,59379.0
493,MNST,84342.0
494,MO,13901.0
495,MOHK,77496.0
496,MOLX,54827.0
497,MOS,90386.0
498,MOT,22779.0
499,MPTR,81262.0
500,MRIS,51706.0
501,MRK,22752.0
502,MRKT,14704.0
503,MSFT,10107.0
504,MTD,85621.0
505,MTG,76804.0
506,MTW,51263.0
507,MUR,28345.0
