date,permno,close,spyt,spyt1,spyt2,spyt3,rdp5,rdp10,rdp15,rdp20,ema10,ema20,ema50,ema200
2000-01,23318.0,44.375,,,,,,,,,0.0,0.0,0.0,0
2000-02,23318.0,50.0,0.12676056338028174,,,,,,,,0.0,0.0,0.0,0
2000-03,23318.0,49.875,-0.0024999999999999467,0.12676056338028174,,,,,,,0.0,0.0,0.0,0
2000-04,23318.0,45.25,-0.09273182957393489,-0.0024999999999999467,0.12676056338028174,,,,,,0.0,0.0,0.0,0
2000-05,23318.0,37.9375,-0.16160220994475138,-0.09273182957393489,-0.0024999999999999467,0.12676056338028174,,,,,0.0,0.0,0.0,0
2000-06,23318.0,47.5,0.25205930807248755,-0.16160220994475138,-0.09273182957393489,-0.0024999999999999467,7.042253521126761,,,,0.0,0.0,0.0,0
2000-07,23318.0,41.875,-0.11842105263157898,0.25205930807248755,-0.16160220994475138,-0.09273182957393489,-16.25,,,,0.0,0.0,0.0,0
2000-08,23318.0,54.0625,0.29104477611940305,-0.11842105263157898,0.25205930807248755,-0.16160220994475138,8.395989974937343,,,,0.0,0.0,0.0,0
2000-09,23318.0,45.0,-0.16763005780346818,0.29104477611940305,-0.11842105263157898,0.25205930807248755,-0.5524861878453038,,,,0.0,0.0,0.0,0
2000-10,23318.0,43.3125,-0.03749999999999998,-0.16763005780346818,0.29104477611940305,-0.11842105263157898,14.168039538714991,,,,45.91875,0.0,0.0,0
2000-11,23318.0,40.875,-0.05627705627705626,-0.03749999999999998,-0.16763005780346818,0.29104477611940305,-13.94736842105263,-7.887323943661972,,,45.001704545454544,0.0,0.0,0
2000-12,23318.0,44.5,0.08868501529051986,-0.05627705627705626,-0.03749999999999998,-0.16763005780346818,6.26865671641791,-11.0,,,44.910485537190084,0.0,0.0,0
2001-01,23318.0,41.9375,-0.057584269662921295,0.08868501529051986,-0.05627705627705626,-0.03749999999999998,-22.427745664739884,-15.914786967418545,,,44.36994271224643,0.0,0.0,0
2001-02,23318.0,46.8125,0.11624441132637853,-0.057584269662921295,0.08868501529051986,-0.05627705627705626,4.027777777777778,3.4530386740331496,,,44.81404403729253,0.0,0.0,0
2001-03,23318.0,43.875,-0.06275033377837114,0.11624441132637853,-0.057584269662921295,0.08868501529051986,1.2987012987012987,15.650741350906095,,,44.643308757784794,0.0,0.0,0
2001-04,23318.0,48.0099983215332,0.09424497598936066,-0.06275033377837114,0.11624441132637853,-0.057584269662921295,17.455653386013953,1.0736806769120066,8.19154551331426,,45.255434133011775,0.0,0.0,0
2001-05,23318.0,51.56999969482422,0.07415124969280207,0.09424497598936066,-0.06275033377837114,0.11624441132637853,15.88763976364993,23.152238077192163,3.1399993896484375,,46.40353696243222,0.0,0.0,0
2001-06,23318.0,51.0,-0.011052931902216567,0.07415124969280207,0.09424497598936066,-0.06275033377837114,21.609538002980628,-5.664739884393064,2.2556390977443606,,47.239257514717266,0.0,0.0,0
2001-07,23318.0,42.900001525878906,-0.15882349949257046,-0.011052931902216567,0.07415124969280207,0.09424497598936066,-8.357807154330775,-4.666663275824653,-5.193366793637776,,46.450301880383016,0.0,0.0,0
2001-08,23318.0,46.619998931884766,0.08671322316298324,-0.15882349949257046,-0.011052931902216567,0.07415124969280207,6.25640782195958,7.636361170296717,22.886323378938428,,46.481155889746965,45.86437492370605,0.0,0
2001-09,23318.0,44.369998931884766,-0.048262549368296104,0.08671322316298324,-0.15882349949257046,-0.011052931902216567,-7.581752795054449,8.550456102470374,-6.589475932874178,-0.011270012654049295,46.09730917013566,45.722053400675456,0.0,0
2001-10,23318.0,53.81999969482422,0.21298176674393776,-0.048262549368296104,0.08671322316298324,-0.15882349949257046,4.363001771019634,20.94381953893083,28.525372405550375,7.6399993896484375,47.50143472007903,46.49328638107058,0.0,0
2001-11,23318.0,43.400001525878906,-0.19360829111909839,0.21298176674393776,-0.048262549368296104,0.08671322316298324,-14.901957792394303,3.4873359782507456,-19.722540530166185,-12.982453080944548,46.755719593860825,46.198687823433275,0.0,0
2001-12,23318.0,43.84000015258789,0.010138216848831538,-0.19360829111909839,0.21298176674393776,-0.048262549368296104,2.191138912062606,-6.349799407021862,-2.5777774386935763,-3.1160217622367057,46.22558878635665,45.974050902400386,0.0,0
2002-01,23318.0,42.369998931884766,-0.03353104962560882,0.010138216848831538,-0.19360829111909839,0.21298176674393776,-9.116259325122597,-3.4302018646501073,-2.1760486421130953,11.683687464605642,45.52457244917994,45.630807857589375,0.0,0
2002-02,23318.0,43.41999816894531,0.024781667772721727,-0.03353104962560882,0.010138216848831538,-0.19360829111909839,-2.1410880906214587,-9.560508879520636,6.226295214545107,-8.5894775390625,45.14192258004637,45.42025455390899,0.0,0
